"method","leaf","rule","offset","stations"
"leaf2_split35_cw32_ew12_top20","0","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m <= 4250.918 AND forest_ratio_ring_5_10km <= 0.26506471 AND ocean_ratio_ring_20_50km <= 0.40166289 AND forest_ratio_ring_0_1km <= 0.019264888","0","2"
"leaf2_split35_cw32_ew12_top20","1","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m <= 4250.918 AND forest_ratio_ring_5_10km <= 0.26506471 AND ocean_ratio_ring_20_50km <= 0.40166289 AND forest_ratio_ring_0_1km > 0.019264888","-1","2"
"leaf2_split35_cw32_ew12_top20","2","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m <= 4250.918 AND forest_ratio_ring_5_10km <= 0.26506471 AND ocean_ratio_ring_20_50km > 0.40166289 AND ndvi_mean_3km <= 0.45200488","-2","2"
"leaf2_split35_cw32_ew12_top20","3","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m <= 4250.918 AND forest_ratio_ring_5_10km <= 0.26506471 AND ocean_ratio_ring_20_50km > 0.40166289 AND ndvi_mean_3km > 0.45200488","-3","2"
"leaf2_split35_cw32_ew12_top20","4","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m <= 4250.918 AND forest_ratio_ring_5_10km > 0.26506471 AND ocean_ratio_ring_20_50km <= 0.44231011","-10","3"
"leaf2_split35_cw32_ew12_top20","5","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m <= 4250.918 AND forest_ratio_ring_5_10km > 0.26506471 AND ocean_ratio_ring_20_50km > 0.44231011","-2","2"
"leaf2_split35_cw32_ew12_top20","6","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m > 4250.918 AND commercial_ratio_ring_0_1km <= 0.0016728558","10","2"
"leaf2_split35_cw32_ew12_top20","7","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m > 4250.918 AND commercial_ratio_ring_0_1km > 0.0016728558 AND ndvi_seasonal_amplitude_3km <= 0.050668685","1","2"
"leaf2_split35_cw32_ew12_top20","8","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m > 4250.918 AND commercial_ratio_ring_0_1km > 0.0016728558 AND ndvi_seasonal_amplitude_3km > 0.050668685 AND agriculture_ratio_ring_0_1km <= 0.48558497 AND transportation_ratio_ring_0_1km <= 0.091308866 AND built_up_ratio_ring_1_5km <= 0.027787266","-7","2"
"leaf2_split35_cw32_ew12_top20","9","transportation_ratio_ring_0_1km <= 0.15737653 AND distance_to_industrial_park_m > 4250.918 AND commercial_ratio_ring_0_1km > 0.0016728558 AND ndvi_seasonal_amplitude_3km > 0.050668685 AND agriculture_ratio_ring_0_1km <= 0.48558497 AND transportation_ratio_ring_0_1km <= 0.091308866 AND built_up_ratio_ring_1_5km > 0.027787266","-11","4"
